time,cpu,percpu,mem,ram,disk,disk_io,network,gpu load,gpu memutil
2021-05-18 20:36:36.555017,2.5,2.5,6542.39453125,45613.4140625,11307.95703125,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': 126, 'recv': 120}",0.0,0.0
2021-05-18 20:36:40.537346,2.5,2.5,18126.92578125,57175.2421875,11307.95703125,"{'rc': 0, 'wc': 2, 'rb': 0, 'wb': 53248}","{'sent': 126, 'recv': 58506}",0.0,0.0
2021-05-18 20:36:44.620573,2.5,2.5,29638.76953125,68665.3359375,11307.95703125,"{'rc': 0, 'wc': 4, 'rb': 0, 'wb': 86016}","{'sent': 126, 'recv': 119046}",0.0,0.0
2021-05-18 20:36:48.724526,2.5,2.5,39090.27734375,78096.75390625,11307.95703125,"{'rc': 0, 'wc': 13, 'rb': 0, 'wb': 131072}","{'sent': 126, 'recv': 177726}",0.0,0.0
2021-05-18 20:36:52.693099,2.5,2.5,47766.30859375,86756.78515625,11307.95703125,"{'rc': 0, 'wc': 13, 'rb': 0, 'wb': 131072}","{'sent': 126, 'recv': 235866}",0.0,0.0
2021-05-18 20:36:56.764774,2.5,2.5,52008.20703125,90992.77734375,11307.95703125,"{'rc': 0, 'wc': 13, 'rb': 0, 'wb': 131072}","{'sent': 249, 'recv': 303821}",0.0,0.0
2021-05-18 20:37:00.898625,2.5,2.5,54542.2890625,93520.68359375,11307.95703125,"{'rc': 0, 'wc': 13, 'rb': 0, 'wb': 131072}","{'sent': 797, 'recv': 372829}",0.0,0.0
2021-05-18 20:37:05.080557,2.5,2.5,59861.84375,98828.67578125,11307.95703125,"{'rc': 0, 'wc': 38, 'rb': 0, 'wb': 237568}","{'sent': 797, 'recv': 439429}",0.0,0.0
2021-05-18 20:37:09.161552,2.5,2.5,65613.60546875,104570.69140625,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 797, 'recv': 504049}",0.0,0.0
2021-05-18 20:37:13.421437,2.5,2.5,71677.7890625,110620.69921875,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 567469}",0.0,0.0
2021-05-18 20:37:17.504698,2.5,2.5,73032.46875,111974.71875,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 630709}",0.0,0.0
2021-05-18 20:37:21.936221,2.5,2.5,54622.0234375,93600.703125,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 705709}",0.0,0.0
2021-05-18 20:37:26.064114,2.5,2.525,56213.765625,95189.1171875,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 771949}",0.0,0.0
2021-05-18 20:37:30.338393,2.5,2.525,55168.20703125,94146.76171875,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 838369}",0.0,0.0
2021-05-18 20:37:34.461404,2.5,2.5,60770.53515625,99738.70703125,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 915889}",0.0,0.0
2021-05-18 20:37:38.768979,2.5,2.575,66855.48828125,105810.7265625,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 901, 'recv': 1001389}",0.0,0.0
2021-05-18 20:37:43.020595,2.5,2.5,72849.22265625,111792.6796875,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 955, 'recv': 1080889}",0.0,0.0
2021-05-18 20:37:47.182932,2.5,2.5,77236.30859375,116171.08984375,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 997, 'recv': 1143649}",0.0,0.0
2021-05-18 20:37:51.350455,2.5,2.525,73032.80078125,111975.37890625,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 997, 'recv': 1205749}",0.0,0.0
2021-05-18 20:37:55.565324,2.5,2.5,73032.06640625,111974.72265625,11307.95703125,"{'rc': 0, 'wc': 46, 'rb': 0, 'wb': 278528}","{'sent': 4233, 'recv': 1272404}",0.0,0.0
2021-05-18 20:37:59.856375,2.5,2.5,73032.1484375,111974.77734375,11307.95703125,"{'rc': 0, 'wc': 48, 'rb': 0, 'wb': 303104}","{'sent': 4435, 'recv': 1342724}",0.0,0.0
