time,cpu,percpu,mem,ram,disk,disk_io,network,gpu load,gpu memutil
2021-05-18 21:30:01.501213,2.5,2.52,1497.14453125,40931.1171875,11324.02734375,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': 126, 'recv': 300}",0.0,0.0
2021-05-18 21:30:05.858538,2.5,2.5300000000000002,1705.83984375,41137.56640625,11324.02734375,"{'rc': 0, 'wc': 12, 'rb': 0, 'wb': 90112}","{'sent': 4304, 'recv': 79830}",0.0,0.0
2021-05-18 21:30:10.627031,57.2,57.69500000000001,2395.34765625,41830.02734375,11324.02734375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 1835008}","{'sent': 4532, 'recv': 169980}",0.0,0.0
2021-05-18 21:30:16.777524,50.3,38.585,5924.78515625,45351.40234375,11324.02734375,"{'rc': 0, 'wc': 271, 'rb': 0, 'wb': 259887104}","{'sent': 5694, 'recv': 276648}",0.0,0.0
2021-05-18 21:30:21.199987,47.0,41.97,8237.98046875,47652.7109375,11324.02734375,"{'rc': 0, 'wc': 368, 'rb': 0, 'wb': 359944192}","{'sent': 6952, 'recv': 351324}",0.0,0.0
2021-05-18 21:30:25.690672,55.8,63.88000000000001,8992.23046875,48405.484375,11324.02734375,"{'rc': 0, 'wc': 549, 'rb': 0, 'wb': 546353152}","{'sent': 7958, 'recv': 434688}",0.0,0.0
2021-05-18 21:30:30.287261,67.3,72.32249999999999,9837.22265625,49249.203125,11324.02734375,"{'rc': 0, 'wc': 567, 'rb': 0, 'wb': 546492416}","{'sent': 9136, 'recv': 514230}",0.0,0.0
2021-05-18 21:30:34.877331,61.6,72.10999999999999,10207.28125,49620.375,11324.02734375,"{'rc': 0, 'wc': 773, 'rb': 0, 'wb': 548229120}","{'sent': 10936, 'recv': 597846}",0.0,0.0
2021-05-18 21:30:39.500441,72.1,62.48,10432.73828125,49844.96875,11324.02734375,"{'rc': 0, 'wc': 774, 'rb': 0, 'wb': 548233216}","{'sent': 12392, 'recv': 682068}",0.0,0.0
2021-05-18 21:30:44.115525,70.4,65.175,10305.9140625,49716.2890625,11324.02734375,"{'rc': 0, 'wc': 965, 'rb': 0, 'wb': 734670848}","{'sent': 13918, 'recv': 776940}",0.0,0.0
2021-05-18 21:30:48.766366,69.2,57.38250000000001,10408.8046875,49819.40625,11324.02734375,"{'rc': 0, 'wc': 967, 'rb': 0, 'wb': 734728192}","{'sent': 15326, 'recv': 902790}",0.0,0.0
2021-05-18 21:30:53.489332,63.8,61.6075,10482.73046875,49890.9453125,11324.02734375,"{'rc': 0, 'wc': 967, 'rb': 0, 'wb': 734728192}","{'sent': 16300, 'recv': 992928}",0.0,0.0
2021-05-18 21:30:58.200599,56.0,75.84,11139.53515625,50552.03125,11324.02734375,"{'rc': 0, 'wc': 967, 'rb': 0, 'wb': 734728192}","{'sent': 17402, 'recv': 1083864}",0.0,0.0
2021-05-18 21:31:02.859699,30.7,67.72749999999999,10806.92578125,50217.03515625,11324.02734375,"{'rc': 0, 'wc': 967, 'rb': 0, 'wb': 734728192}","{'sent': 19350, 'recv': 1171796}",0.0,0.0
2021-05-18 21:31:07.569406,62.6,69.4475,10843.79296875,50252.14453125,11324.02734375,"{'rc': 0, 'wc': 1146, 'rb': 0, 'wb': 921092096}","{'sent': 20690, 'recv': 1251752}",5.0,0.0
2021-05-18 21:31:12.336554,70.2,69.415,11222.078125,50629.90625,11324.02734375,"{'rc': 0, 'wc': 1148, 'rb': 0, 'wb': 921149440}","{'sent': 22198, 'recv': 1328954}",0.0,0.0
2021-05-18 21:31:17.127655,56.2,58.192499999999995,10880.890625,50289.36328125,11324.02734375,"{'rc': 0, 'wc': 1149, 'rb': 0, 'wb': 921153536}","{'sent': 24334, 'recv': 1409156}",0.0,0.0
